Epoch, Loss, Dice Score, Dice Loss, CE Loss, Additional Loss, Time
1, 1.8869, 0.3544, 0.6456, 0.8141, 0.4272, 305.57
2, 1.2074, 0.4928, 0.5072, 0.4653, 0.2349, 312.93
3, 1.0303, 0.5519, 0.4481, 0.3806, 0.2016, 313.59
4, 0.9333, 0.5888, 0.4112, 0.3378, 0.1843, 313.25
5, 0.8745, 0.6125, 0.3875, 0.3129, 0.1740, 313.44
6, 0.8306, 0.6300, 0.3700, 0.2946, 0.1660, 313.33
7, 0.7975, 0.6433, 0.3567, 0.2813, 0.1596, 313.34
8, 0.7720, 0.6526, 0.3474, 0.2708, 0.1538, 312.91
9, 0.7523, 0.6604, 0.3396, 0.2628, 0.1499, 312.98
10, 0.7374, 0.6668, 0.3332, 0.2568, 0.1473, 314.33
11, 0.7184, 0.6732, 0.3268, 0.2487, 0.1428, 325.22
12, 0.7073, 0.6774, 0.3226, 0.2444, 0.1403, 322.68
13, 0.6969, 0.6813, 0.3187, 0.2401, 0.1381, 321.14
14, 0.6833, 0.6858, 0.3142, 0.2341, 0.1350, 323.67
15, 0.6735, 0.6893, 0.3107, 0.2302, 0.1326, 324.32
16, 0.6615, 0.6932, 0.3068, 0.2249, 0.1298, 321.71
17, 0.6543, 0.6959, 0.3041, 0.2222, 0.1281, 322.39
18, 0.6454, 0.6987, 0.3013, 0.2181, 0.1259, 325.61
19, 0.6378, 0.7018, 0.2982, 0.2152, 0.1244, 322.43
20, 0.6295, 0.7043, 0.2957, 0.2116, 0.1221, 321.38
21, 0.6224, 0.7068, 0.2932, 0.2088, 0.1205, 324.44
22, 0.6169, 0.7089, 0.2911, 0.2065, 0.1193, 320.52
23, 0.6070, 0.7121, 0.2879, 0.2022, 0.1169, 320.77
24, 0.6053, 0.7132, 0.2868, 0.2019, 0.1167, 325.02
25, 0.5985, 0.7159, 0.2841, 0.1991, 0.1153, 322.68
26, 0.5919, 0.7177, 0.2823, 0.1962, 0.1133, 321.00
27, 0.5909, 0.7188, 0.2812, 0.1960, 0.1137, 322.92
28, 0.5838, 0.7204, 0.2796, 0.1929, 0.1113, 322.16
29, 0.5804, 0.7220, 0.2780, 0.1916, 0.1108, 321.72
30, 0.5751, 0.7241, 0.2759, 0.1896, 0.1096, 323.14
31, 0.5693, 0.7260, 0.2740, 0.1873, 0.1081, 324.18
32, 0.5651, 0.7280, 0.2720, 0.1856, 0.1074, 319.31
33, 0.5631, 0.7284, 0.2716, 0.1848, 0.1067, 319.50
34, 0.5543, 0.7311, 0.2689, 0.1810, 0.1044, 327.86
35, 0.5554, 0.7318, 0.2682, 0.1820, 0.1052, 324.54
36, 0.5500, 0.7330, 0.2670, 0.1795, 0.1035, 322.23
37, 0.5441, 0.7352, 0.2648, 0.1770, 0.1023, 325.38
38, 0.5412, 0.7364, 0.2636, 0.1760, 0.1016, 321.72
39, 0.5391, 0.7375, 0.2625, 0.1753, 0.1013, 320.65
40, 0.5337, 0.7392, 0.2608, 0.1731, 0.0998, 324.91
41, 0.5322, 0.7397, 0.2603, 0.1724, 0.0994, 322.24
42, 0.5311, 0.7407, 0.2593, 0.1723, 0.0995, 317.63
43, 0.5229, 0.7430, 0.2570, 0.1688, 0.0971, 324.64
44, 0.5214, 0.7436, 0.2564, 0.1682, 0.0968, 320.43
45, 0.5217, 0.7443, 0.2557, 0.1687, 0.0973, 318.73
46, 0.5181, 0.7456, 0.2544, 0.1673, 0.0964, 320.93
47, 0.5138, 0.7468, 0.2532, 0.1654, 0.0952, 324.66
48, 0.5135, 0.7472, 0.2528, 0.1653, 0.0953, 320.57
49, 0.5092, 0.7488, 0.2512, 0.1637, 0.0943, 322.43
50, 0.5069, 0.7495, 0.2505, 0.1628, 0.0936, 324.95
51, 0.5047, 0.7506, 0.2494, 0.1620, 0.0933, 321.04
52, 0.5017, 0.7514, 0.2486, 0.1608, 0.0923, 321.84
53, 0.5001, 0.7523, 0.2477, 0.1602, 0.0922, 325.07
54, 0.4967, 0.7536, 0.2464, 0.1589, 0.0914, 321.74
55, 0.4930, 0.7548, 0.2452, 0.1574, 0.0904, 321.17
56, 0.4937, 0.7554, 0.2446, 0.1581, 0.0910, 325.50
57, 0.4905, 0.7564, 0.2436, 0.1567, 0.0901, 321.99
58, 0.4885, 0.7569, 0.2431, 0.1559, 0.0895, 320.66
59, 0.4856, 0.7587, 0.2413, 0.1550, 0.0893, 322.35
60, 0.4853, 0.7587, 0.2413, 0.1549, 0.0890, 321.66
61, 0.4815, 0.7595, 0.2405, 0.1532, 0.0878, 315.39
62, 0.4781, 0.7609, 0.2391, 0.1519, 0.0871, 323.76
63, 0.4765, 0.7616, 0.2384, 0.1512, 0.0868, 323.09
64, 0.4735, 0.7629, 0.2371, 0.1502, 0.0862, 320.92
65, 0.4756, 0.7625, 0.2375, 0.1513, 0.0868, 322.49
66, 0.4726, 0.7635, 0.2365, 0.1500, 0.0861, 324.11
67, 0.4685, 0.7649, 0.2351, 0.1485, 0.0848, 320.55
68, 0.4666, 0.7657, 0.2343, 0.1476, 0.0846, 322.20
69, 0.4669, 0.7655, 0.2345, 0.1477, 0.0846, 324.99
70, 0.4679, 0.7660, 0.2340, 0.1486, 0.0852, 320.48
71, 0.4607, 0.7676, 0.2324, 0.1453, 0.0831, 321.19
72, 0.4647, 0.7671, 0.2329, 0.1474, 0.0845, 324.89
73, 0.4603, 0.7685, 0.2315, 0.1455, 0.0833, 320.93
74, 0.4592, 0.7688, 0.2312, 0.1451, 0.0829, 320.59
75, 0.4572, 0.7697, 0.2303, 0.1443, 0.0825, 325.22
76, 0.4549, 0.7704, 0.2296, 0.1434, 0.0819, 317.60
77, 0.4538, 0.7710, 0.2290, 0.1431, 0.0817, 321.36
78, 0.4512, 0.7717, 0.2283, 0.1419, 0.0810, 323.95
79, 0.4560, 0.7712, 0.2288, 0.1444, 0.0828, 322.62
80, 0.4480, 0.7730, 0.2270, 0.1407, 0.0803, 320.15
81, 0.4478, 0.7733, 0.2267, 0.1407, 0.0804, 323.63
82, 0.4464, 0.7744, 0.2256, 0.1405, 0.0803, 324.01
83, 0.4449, 0.7746, 0.2254, 0.1398, 0.0797, 318.37
84, 0.4437, 0.7751, 0.2249, 0.1393, 0.0795, 315.19
85, 0.4452, 0.7751, 0.2249, 0.1402, 0.0801, 312.72
86, 0.4409, 0.7761, 0.2239, 0.1383, 0.0788, 312.68
87, 0.4408, 0.7764, 0.2236, 0.1383, 0.0789, 312.88
88, 0.4415, 0.7771, 0.2229, 0.1390, 0.0796, 313.19
89, 0.4389, 0.7773, 0.2227, 0.1378, 0.0785, 312.56
90, 0.4361, 0.7783, 0.2217, 0.1366, 0.0778, 313.16
91, 0.4362, 0.7784, 0.2216, 0.1367, 0.0779, 312.11
92, 0.4369, 0.7785, 0.2215, 0.1371, 0.0782, 311.49
93, 0.4343, 0.7793, 0.2207, 0.1361, 0.0776, 312.29
94, 0.4332, 0.7796, 0.2204, 0.1356, 0.0772, 312.20
95, 0.4310, 0.7805, 0.2195, 0.1348, 0.0768, 312.96
96, 0.4293, 0.7811, 0.2189, 0.1341, 0.0763, 312.53
97, 0.4281, 0.7818, 0.2182, 0.1337, 0.0762, 312.33
98, 0.4281, 0.7819, 0.2181, 0.1339, 0.0762, 312.59
99, 0.4237, 0.7836, 0.2164, 0.1321, 0.0751, 312.84
100, 0.4250, 0.7834, 0.2166, 0.1328, 0.0756, 324.06
101, 0.4228, 0.7837, 0.2163, 0.1317, 0.0748, 321.26
102, 0.4208, 0.7846, 0.2154, 0.1310, 0.0744, 321.55
103, 0.4199, 0.7850, 0.2150, 0.1306, 0.0742, 324.78
104, 0.4216, 0.7851, 0.2149, 0.1316, 0.0750, 321.30
105, 0.4193, 0.7856, 0.2144, 0.1307, 0.0743, 320.42
106, 0.4178, 0.7860, 0.2140, 0.1300, 0.0738, 324.71
107, 0.4174, 0.7864, 0.2136, 0.1299, 0.0738, 322.06
108, 0.4162, 0.7870, 0.2130, 0.1296, 0.0736, 320.26
109, 0.4164, 0.7872, 0.2128, 0.1298, 0.0739, 323.68
110, 0.4151, 0.7876, 0.2124, 0.1293, 0.0734, 323.08
111, 0.4125, 0.7884, 0.2116, 0.1281, 0.0727, 320.05
112, 0.4128, 0.7887, 0.2113, 0.1284, 0.0730, 322.66
113, 0.4153, 0.7879, 0.2121, 0.1297, 0.0735, 324.29
114, 0.4076, 0.7904, 0.2096, 0.1264, 0.0716, 320.71
115, 0.4106, 0.7893, 0.2107, 0.1276, 0.0723, 321.63
116, 0.4099, 0.7898, 0.2102, 0.1274, 0.0724, 324.73
117, 0.4104, 0.7905, 0.2095, 0.1281, 0.0728, 320.42
118, 0.4079, 0.7908, 0.2092, 0.1268, 0.0720, 320.96
119, 0.4043, 0.7919, 0.2081, 0.1253, 0.0708, 324.85
120, 0.4060, 0.7911, 0.2089, 0.1258, 0.0713, 321.04
121, 0.4052, 0.7917, 0.2083, 0.1257, 0.0712, 320.55
122, 0.4024, 0.7924, 0.2076, 0.1244, 0.0704, 324.98
123, 0.4042, 0.7919, 0.2081, 0.1252, 0.0709, 322.15
124, 0.4013, 0.7931, 0.2069, 0.1242, 0.0702, 320.71
125, 0.4007, 0.7934, 0.2066, 0.1240, 0.0701, 323.55
126, 0.3995, 0.7941, 0.2059, 0.1236, 0.0700, 320.75
127, 0.4020, 0.7936, 0.2064, 0.1248, 0.0707, 311.53
128, 0.3970, 0.7950, 0.2050, 0.1227, 0.0693, 319.76
129, 0.3982, 0.7946, 0.2054, 0.1232, 0.0696, 324.03
130, 0.3954, 0.7956, 0.2044, 0.1220, 0.0690, 322.20
131, 0.3955, 0.7955, 0.2045, 0.1220, 0.0690, 325.69
132, 0.3948, 0.7958, 0.2042, 0.1217, 0.0688, 331.75
133, 0.3968, 0.7955, 0.2045, 0.1228, 0.0695, 318.46
134, 0.3949, 0.7960, 0.2040, 0.1220, 0.0690, 321.08
135, 0.3930, 0.7968, 0.2032, 0.1213, 0.0684, 325.04
136, 0.3928, 0.7970, 0.2030, 0.1213, 0.0685, 320.57
137, 0.3940, 0.7969, 0.2031, 0.1220, 0.0690, 314.95
138, 0.3896, 0.7980, 0.2020, 0.1199, 0.0677, 314.40
139, 0.3888, 0.7985, 0.2015, 0.1198, 0.0676, 318.42
140, 0.3896, 0.7981, 0.2019, 0.1200, 0.0678, 315.30
141, 0.3889, 0.7990, 0.2010, 0.1200, 0.0679, 322.84
142, 0.3863, 0.7997, 0.2003, 0.1190, 0.0670, 312.55
143, 0.3852, 0.8001, 0.1999, 0.1185, 0.0668, 324.09
144, 0.3893, 0.7992, 0.2008, 0.1203, 0.0682, 324.82
145, 0.3856, 0.8001, 0.1999, 0.1188, 0.0669, 313.06
146, 0.3846, 0.8005, 0.1995, 0.1183, 0.0667, 312.68
147, 0.3836, 0.8006, 0.1994, 0.1178, 0.0664, 312.79
148, 0.3839, 0.8007, 0.1993, 0.1181, 0.0666, 312.78
149, 0.3820, 0.8017, 0.1983, 0.1174, 0.0662, 331.41
150, 0.3810, 0.8019, 0.1981, 0.1170, 0.0659, 312.50
151, 0.3809, 0.8018, 0.1982, 0.1169, 0.0658, 312.65
152, 0.3822, 0.8017, 0.1983, 0.1176, 0.0664, 330.63
153, 0.3778, 0.8032, 0.1968, 0.1159, 0.0651, 312.35
154, 0.3794, 0.8025, 0.1975, 0.1164, 0.0655, 307.91
155, 0.3796, 0.8026, 0.1974, 0.1166, 0.0657, 312.37
156, 0.3821, 0.8022, 0.1978, 0.1178, 0.0665, 313.10
157, 0.3781, 0.8031, 0.1969, 0.1159, 0.0653, 312.20
158, 0.3772, 0.8037, 0.1963, 0.1158, 0.0652, 312.19
159, 0.3769, 0.8038, 0.1962, 0.1156, 0.0651, 311.79
160, 0.3766, 0.8043, 0.1957, 0.1158, 0.0652, 311.43
161, 0.3758, 0.8045, 0.1955, 0.1153, 0.0650, 311.10
162, 0.3741, 0.8051, 0.1949, 0.1147, 0.0645, 311.26
163, 0.3767, 0.8051, 0.1949, 0.1162, 0.0656, 311.63
164, 0.3727, 0.8058, 0.1942, 0.1142, 0.0642, 311.60
165, 0.3729, 0.8058, 0.1942, 0.1144, 0.0643, 311.25
166, 0.3714, 0.8061, 0.1939, 0.1137, 0.0638, 311.13
167, 0.3718, 0.8059, 0.1941, 0.1138, 0.0640, 311.28
168, 0.3711, 0.8065, 0.1935, 0.1137, 0.0639, 311.54
169, 0.3711, 0.8063, 0.1937, 0.1136, 0.0638, 311.28
170, 0.3716, 0.8062, 0.1938, 0.1138, 0.0640, 311.39
171, 0.3681, 0.8075, 0.1925, 0.1125, 0.0631, 311.27
172, 0.3676, 0.8080, 0.1920, 0.1125, 0.0631, 310.92
173, 0.3708, 0.8072, 0.1928, 0.1139, 0.0642, 311.29
174, 0.3677, 0.8079, 0.1921, 0.1125, 0.0631, 311.22
175, 0.3693, 0.8073, 0.1927, 0.1131, 0.0635, 311.47
176, 0.3665, 0.8085, 0.1915, 0.1121, 0.0628, 311.47
177, 0.3665, 0.8083, 0.1917, 0.1119, 0.0628, 311.34
178, 0.3654, 0.8089, 0.1911, 0.1116, 0.0627, 311.22
179, 0.3663, 0.8087, 0.1913, 0.1122, 0.0629, 311.30
180, 0.3647, 0.8091, 0.1909, 0.1114, 0.0625, 311.57
181, 0.3642, 0.8094, 0.1906, 0.1112, 0.0624, 311.42
182, 0.3629, 0.8096, 0.1904, 0.1106, 0.0619, 311.42
183, 0.3635, 0.8099, 0.1901, 0.1110, 0.0624, 311.04
184, 0.3625, 0.8102, 0.1898, 0.1106, 0.0620, 311.38
185, 0.3611, 0.8104, 0.1896, 0.1099, 0.0616, 311.31
186, 0.3614, 0.8104, 0.1896, 0.1101, 0.0617, 311.48
187, 0.3609, 0.8106, 0.1894, 0.1099, 0.0615, 311.38
188, 0.3619, 0.8102, 0.1898, 0.1103, 0.0618, 311.34
189, 0.3593, 0.8113, 0.1887, 0.1094, 0.0613, 311.28
190, 0.3619, 0.8107, 0.1893, 0.1105, 0.0620, 311.11
191, 0.3603, 0.8110, 0.1890, 0.1098, 0.0615, 311.38
192, 0.3586, 0.8116, 0.1884, 0.1091, 0.0611, 311.37
193, 0.3579, 0.8119, 0.1881, 0.1089, 0.0609, 311.45
194, 0.3605, 0.8119, 0.1881, 0.1103, 0.0621, 311.39
195, 0.3574, 0.8121, 0.1879, 0.1086, 0.0608, 311.42
196, 0.3574, 0.8125, 0.1875, 0.1089, 0.0609, 311.47
197, 0.3567, 0.8127, 0.1873, 0.1087, 0.0608, 311.27
198, 0.3569, 0.8126, 0.1874, 0.1086, 0.0608, 311.31
199, 0.3575, 0.8122, 0.1878, 0.1088, 0.0609, 311.18
200, 0.3568, 0.8131, 0.1869, 0.1088, 0.0610, 311.24
201, 0.3546, 0.8135, 0.1865, 0.1078, 0.0603, 311.46
202, 0.3543, 0.8136, 0.1864, 0.1077, 0.0602, 311.38
203, 0.3553, 0.8132, 0.1868, 0.1081, 0.0604, 311.35
204, 0.3562, 0.8135, 0.1865, 0.1087, 0.0610, 311.14
205, 0.3525, 0.8143, 0.1857, 0.1071, 0.0597, 311.30
206, 0.3516, 0.8146, 0.1854, 0.1067, 0.0595, 311.47
207, 0.3521, 0.8149, 0.1851, 0.1071, 0.0600, 311.31
208, 0.3532, 0.8141, 0.1859, 0.1073, 0.0600, 311.57
209, 0.3524, 0.8148, 0.1852, 0.1071, 0.0600, 311.29
210, 0.3531, 0.8145, 0.1855, 0.1075, 0.0602, 311.21
211, 0.3541, 0.8141, 0.1859, 0.1078, 0.0604, 311.28
212, 0.3491, 0.8159, 0.1841, 0.1059, 0.0591, 311.09
213, 0.3491, 0.8158, 0.1842, 0.1059, 0.0590, 311.68
214, 0.3503, 0.8155, 0.1845, 0.1064, 0.0594, 311.79
215, 0.3516, 0.8155, 0.1845, 0.1071, 0.0600, 312.56
216, 0.3469, 0.8166, 0.1834, 0.1050, 0.0585, 312.74
217, 0.3472, 0.8167, 0.1833, 0.1052, 0.0587, 313.18
218, 0.3492, 0.8164, 0.1836, 0.1062, 0.0594, 312.75
219, 0.3465, 0.8170, 0.1830, 0.1049, 0.0585, 312.71
220, 0.3460, 0.8173, 0.1827, 0.1048, 0.0584, 312.39
221, 0.3480, 0.8168, 0.1832, 0.1057, 0.0591, 311.87
222, 0.3457, 0.8173, 0.1827, 0.1046, 0.0583, 312.28
223, 0.3459, 0.8172, 0.1828, 0.1048, 0.0584, 312.40
224, 0.3464, 0.8171, 0.1829, 0.1049, 0.0586, 312.52
225, 0.3439, 0.8181, 0.1819, 0.1040, 0.0579, 312.49
226, 0.3448, 0.8176, 0.1824, 0.1043, 0.0581, 312.51
227, 0.3460, 0.8174, 0.1826, 0.1048, 0.0585, 311.76
228, 0.3460, 0.8173, 0.1827, 0.1048, 0.0585, 311.76
229, 0.3460, 0.8174, 0.1826, 0.1049, 0.0585, 313.13
230, 0.3433, 0.8185, 0.1815, 0.1039, 0.0579, 312.38
231, 0.3433, 0.8184, 0.1816, 0.1039, 0.0578, 312.62
232, 0.3453, 0.8183, 0.1817, 0.1049, 0.0587, 308.07
233, 0.3439, 0.8183, 0.1817, 0.1042, 0.0580, 312.58
234, 0.3412, 0.8191, 0.1809, 0.1030, 0.0572, 311.38
235, 0.3398, 0.8197, 0.1803, 0.1025, 0.0570, 311.27
236, 0.3425, 0.8188, 0.1812, 0.1035, 0.0577, 312.41
237, 0.3422, 0.8193, 0.1807, 0.1037, 0.0578, 312.55
238, 0.3407, 0.8195, 0.1805, 0.1029, 0.0572, 312.55
239, 0.3415, 0.8195, 0.1805, 0.1033, 0.0577, 312.44
240, 0.3415, 0.8193, 0.1807, 0.1032, 0.0575, 313.01
241, 0.3395, 0.8200, 0.1800, 0.1025, 0.0570, 311.57
242, 0.3391, 0.8204, 0.1796, 0.1025, 0.0570, 311.34
243, 0.3354, 0.8214, 0.1786, 0.1009, 0.0559, 311.19
244, 0.3378, 0.8207, 0.1793, 0.1019, 0.0567, 310.94
245, 0.3385, 0.8204, 0.1796, 0.1022, 0.0568, 311.36
246, 0.3394, 0.8202, 0.1798, 0.1025, 0.0571, 311.39
247, 0.3368, 0.8212, 0.1788, 0.1016, 0.0564, 273.32
248, 0.3392, 0.8205, 0.1795, 0.1026, 0.0572, 259.24
249, 0.3384, 0.8209, 0.1791, 0.1023, 0.0570, 281.26
250, 0.3353, 0.8217, 0.1783, 0.1010, 0.0561, 311.62
251, 0.3357, 0.8219, 0.1781, 0.1013, 0.0563, 312.36
252, 0.3345, 0.8220, 0.1780, 0.1007, 0.0559, 312.26
253, 0.3356, 0.8216, 0.1784, 0.1011, 0.0562, 311.77
254, 0.3370, 0.8213, 0.1787, 0.1017, 0.0566, 312.36
255, 0.3366, 0.8216, 0.1784, 0.1017, 0.0565, 312.50
256, 0.3344, 0.8224, 0.1776, 0.1008, 0.0560, 311.86
257, 0.3352, 0.8225, 0.1775, 0.1013, 0.0564, 311.84
258, 0.3357, 0.8218, 0.1782, 0.1012, 0.0563, 311.55
259, 0.3353, 0.8222, 0.1778, 0.1012, 0.0563, 311.28
260, 0.3316, 0.8234, 0.1766, 0.0997, 0.0553, 311.69
261, 0.3332, 0.8226, 0.1774, 0.1002, 0.0556, 311.74
262, 0.3318, 0.8232, 0.1768, 0.0997, 0.0553, 311.77
263, 0.3330, 0.8230, 0.1770, 0.1003, 0.0557, 311.51
264, 0.3330, 0.8230, 0.1770, 0.1003, 0.0557, 311.68
265, 0.3332, 0.8227, 0.1773, 0.1003, 0.0556, 311.96
266, 0.3310, 0.8235, 0.1765, 0.0994, 0.0551, 311.87
267, 0.3322, 0.8236, 0.1764, 0.1001, 0.0557, 311.60
268, 0.3315, 0.8234, 0.1766, 0.0997, 0.0553, 311.54
269, 0.3302, 0.8244, 0.1756, 0.0994, 0.0552, 311.28
270, 0.3299, 0.8242, 0.1758, 0.0991, 0.0549, 311.77
271, 0.3292, 0.8245, 0.1755, 0.0989, 0.0548, 311.81
272, 0.3310, 0.8239, 0.1761, 0.0996, 0.0553, 311.34
273, 0.3343, 0.8233, 0.1767, 0.1011, 0.0566, 311.38
274, 0.3300, 0.8241, 0.1759, 0.0992, 0.0550, 311.40
275, 0.3286, 0.8248, 0.1752, 0.0987, 0.0547, 311.23
276, 0.3295, 0.8246, 0.1754, 0.0991, 0.0550, 311.72
277, 0.3268, 0.8254, 0.1746, 0.0979, 0.0542, 311.96
278, 0.3268, 0.8254, 0.1746, 0.0979, 0.0542, 311.71
279, 0.3280, 0.8251, 0.1749, 0.0985, 0.0546, 311.44
280, 0.3271, 0.8253, 0.1747, 0.0981, 0.0544, 311.84
281, 0.3262, 0.8260, 0.1740, 0.0979, 0.0542, 280.64
282, 0.3293, 0.8247, 0.1753, 0.0990, 0.0550, 311.59
283, 0.3259, 0.8259, 0.1741, 0.0977, 0.0541, 311.68
284, 0.3298, 0.8249, 0.1751, 0.0994, 0.0553, 301.10
285, 0.3257, 0.8259, 0.1741, 0.0977, 0.0540, 311.57
286, 0.3263, 0.8260, 0.1740, 0.0980, 0.0543, 311.75
287, 0.3268, 0.8259, 0.1741, 0.0982, 0.0544, 311.88
288, 0.3251, 0.8262, 0.1738, 0.0974, 0.0539, 311.48
289, 0.3268, 0.8260, 0.1740, 0.0983, 0.0545, 285.20
290, 0.3249, 0.8265, 0.1735, 0.0974, 0.0540, 295.73
291, 0.3247, 0.8265, 0.1735, 0.0974, 0.0539, 306.48
292, 0.3238, 0.8268, 0.1732, 0.0969, 0.0536, 274.02
293, 0.3249, 0.8264, 0.1736, 0.0974, 0.0539, 303.49
294, 0.3211, 0.8278, 0.1722, 0.0959, 0.0530, 275.49
295, 0.3228, 0.8274, 0.1726, 0.0967, 0.0535, 157.73
296, 0.3221, 0.8274, 0.1726, 0.0963, 0.0532, 242.87
297, 0.3236, 0.8272, 0.1728, 0.0970, 0.0538, 305.41
298, 0.3216, 0.8277, 0.1723, 0.0962, 0.0532, 311.04
299, 0.3228, 0.8274, 0.1726, 0.0967, 0.0535, 293.09
300, 0.3225, 0.8273, 0.1727, 0.0965, 0.0533, 299.63
301, 0.3195, 0.8286, 0.1714, 0.0955, 0.0526, 287.41
302, 0.3209, 0.8279, 0.1721, 0.0958, 0.0529, 305.66
303, 0.3211, 0.8281, 0.1719, 0.0961, 0.0532, 275.65
304, 0.3212, 0.8281, 0.1719, 0.0962, 0.0531, 311.02
305, 0.3186, 0.8290, 0.1710, 0.0951, 0.0525, 310.83
306, 0.3207, 0.8284, 0.1716, 0.0959, 0.0531, 292.72
307, 0.3196, 0.8286, 0.1714, 0.0955, 0.0528, 311.55
308, 0.3200, 0.8285, 0.1715, 0.0957, 0.0529, 311.26
309, 0.3211, 0.8283, 0.1717, 0.0961, 0.0532, 311.40
310, 0.3210, 0.8280, 0.1720, 0.0960, 0.0531, 310.55
311, 0.3213, 0.8282, 0.1718, 0.0962, 0.0533, 311.57
312, 0.3179, 0.8293, 0.1707, 0.0949, 0.0524, 311.14
313, 0.3199, 0.8288, 0.1712, 0.0957, 0.0529, 311.20
314, 0.3206, 0.8286, 0.1714, 0.0961, 0.0531, 311.65
315, 0.3194, 0.8289, 0.1711, 0.0955, 0.0527, 310.86
316, 0.3181, 0.8295, 0.1705, 0.0951, 0.0525, 311.01
317, 0.3185, 0.8292, 0.1708, 0.0952, 0.0526, 311.08
318, 0.3182, 0.8296, 0.1704, 0.0952, 0.0526, 311.00
319, 0.3186, 0.8293, 0.1707, 0.0953, 0.0526, 311.27
320, 0.3188, 0.8293, 0.1707, 0.0954, 0.0527, 310.92
321, 0.3173, 0.8298, 0.1702, 0.0947, 0.0523, 310.65
322, 0.3204, 0.8293, 0.1707, 0.0963, 0.0534, 314.48
323, 0.3195, 0.8288, 0.1712, 0.0955, 0.0528, 307.92
324, 0.3161, 0.8302, 0.1698, 0.0943, 0.0520, 302.53
325, 0.3181, 0.8297, 0.1703, 0.0952, 0.0526, 268.01
326, 0.3172, 0.8299, 0.1701, 0.0947, 0.0523, 312.24
327, 0.3169, 0.8300, 0.1700, 0.0947, 0.0523, 311.22
328, 0.3161, 0.8303, 0.1697, 0.0944, 0.0521, 311.03
329, 0.3171, 0.8299, 0.1701, 0.0948, 0.0523, 311.03
330, 0.3149, 0.8308, 0.1692, 0.0939, 0.0518, 287.22
331, 0.3150, 0.8309, 0.1691, 0.0940, 0.0519, 313.16
332, 0.3200, 0.8293, 0.1707, 0.0960, 0.0533, 312.28
333, 0.3163, 0.8304, 0.1696, 0.0945, 0.0522, 312.80
